Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-08-21 01:46:38;2021-08-21 08:20:14;73%;72%;Good;48;4374;No alarm;98.9;Hermiston;33.1;23616.3;21805.7;1810.6;;;true;614.0;61.7;Fair;Ate late:Energy Drink - During Day:Good day:Tired
2021-08-22 01:17:30;2021-08-22 09:12:00;88%;78%;Good;58;9463;Normal;99.1;Hermiston;29.0;28470.4;25433.5;759.2;2021-08-22 09:10:00;2021-08-22 09:40:00;true;0.0;62.4;Sunny;Ate late:Energy Drink - During Day:Good day:Tired
2021-08-22 09:12:23;2021-08-22 09:31:01;3%;46%;Good;55;506;Normal;99.2;Hermiston;0.0;1117.1;1094.7;22.3;2021-08-22 09:30:00;2021-08-22 09:30:00;true;0.0;32.0;No weather;Nap
2021-08-23 00:40:04;2021-08-23 07:08:16;72%;84%;Good;54;4643;Normal;99.3;Hermiston;20.1;23291.6;20263.7;2096.2;2021-08-23 07:00:00;2021-08-23 07:30:00;true;0.0;57.2;Sunny;Good day:Late Night TV:Tired
2021-08-23 23:47:38;2021-08-24 06:47:41;77%;85%;Good;58;9075;Normal;99.7;Hermiston;34.6;25202.6;20582.1;2604.3;2021-08-24 06:40:00;2021-08-24 07:10:00;true;0.0;57.0;Sunny;Energy Drink - During Day:Good day:Late Night Gaming:Stressful day:Tired
2021-08-25 00:07:40;2021-08-25 04:47:33;51%;83%;Good;0;6557;Normal;99.5;Hermiston;35.4;16793.0;14665.9;2127.1;2021-08-25 04:30:00;2021-08-25 05:00:00;true;0.0;60.8;Partly cloudy;Late Night TV:Stressful day:Tired
2021-08-25 22:58:02;2021-08-26 04:55:03;62%;87%;OK;49;9241;Normal;99.5;Hermiston;25.4;21421.2;19136.3;1856.5;2021-08-26 04:40:00;2021-08-26 05:10:00;true;240.0;67.8;Partly cloudy;Energy Drink - During Day:Late Night TV:Tired
2021-08-26 22:08:48;2021-08-27 06:04:54;88%;84%;Good;58;9059;Normal;99.5;Hermiston;19.3;28565.4;26661.0;1904.4;2021-08-27 06:00:00;2021-08-27 06:30:00;true;60.0;63.1;Sunny;Stressful day:Tired
2021-08-28 00:47:40;2021-08-28 07:15:32;67%;80%;Good;54;5067;Normal;99.9;Hermiston;25.9;23272.2;21022.6;465.4;2021-08-28 07:00:00;2021-08-28 07:30:00;true;60.0;57.0;Sunny;Energy Drink - During Day:Good day:Tired
2021-08-29 00:26:52;2021-08-29 07:35:43;64%;82%;Good;50;12387;Normal;99.6;Hermiston;39.2;25730.8;23843.9;1200.8;2021-08-29 08:10:00;2021-08-29 08:40:00;true;180.0;65.7;Sunny;Good day:Tired
2021-08-29 23:46:07;2021-08-30 06:27:26;67%;82%;Good;53;3418;Normal;99.0;Hermiston;28.4;24078.4;21831.0;2247.3;2021-08-30 06:30:00;2021-08-30 07:00:00;true;120.0;67.3;Sunny;Ate late:Good day:Headache:Late Night Gaming:Tired
2021-08-30 23:58:15;2021-08-31 06:32:20;46%;92%;Good;58;12010;Normal;99.2;Hermiston;64.8;23644.7;20807.4;1418.7;2021-08-31 06:30:00;2021-08-31 07:00:00;true;2079.2;56.1;Sunny;Energy Drink - During Day:Good day:Late Night Gaming:Tea:Tired:Worked out
2021-08-31 23:39:33;2021-09-01 06:50:10;57%;92%;Good;0;3718;Normal;99.5;Hermiston;53.9;25837.4;22995.2;2153.1;2021-09-01 07:00:00;2021-09-01 07:00:00;true;60.0;56.7;Sunny;Good day:Headache:Tired
2021-09-01 21:25:08;2021-09-02 04:33:31;72%;85%;Good;48;2961;Normal;99.5;Hermiston;30.3;25703.0;22618.7;2313.3;2021-09-02 04:30:00;2021-09-02 05:00:00;true;360.0;53.8;Sunny;Energy Drink - During Day:Good day:Tired
2021-09-02 23:06:06;2021-09-03 06:46:10;91%;75%;Good;58;10350;Normal;95.1;Tieton;10.7;27604.0;25947.8;552.1;2021-09-03 06:30:00;2021-09-03 07:00:00;true;65.4;50.7;Sunny;Energy Drink - During Day:Good day
2021-09-04 03:06:38;2021-09-04 07:31:55;43%;63%;Good;54;2270;Normal;99.6;Hermiston;33.1;15917.6;12628.0;2175.4;2021-09-04 07:45:00;2021-09-04 08:15:00;true;3284.3;55.8;Sunny;Good day:Late Night Gaming:Tired
2021-09-06 02:40:30;2021-09-06 06:55:34;34%;76%;Good;67;3778;Normal;99.6;Hermiston;55.3;15303.9;14997.8;306.1;2021-09-06 08:00:00;2021-09-06 08:30:00;true;360.0;71.2;Sunny;Energy Drink - During Day:Good day:Late Night Gaming:Stressful day:Tired
2021-09-08 03:44:58;2021-09-08 08:11:24;47%;81%;Good;56;2435;Normal;99.6;Hermiston;25.7;15986.1;10923.8;2131.5;2021-09-08 08:00:00;2021-09-08 08:30:00;true;1022.5;69.8;Partly cloudy;Energy Drink - During Day:Headache:Late Night Gaming:Tea - During Day:Tired
2021-09-09 21:02:33;2021-09-10 04:55:16;78%;17%;Good;52;7965;Normal;99.0;Hermiston;32.5;28363.7;24298.2;2174.5;2021-09-10 04:30:00;2021-09-10 05:00:00;true;178.8;75.0;Cloudy;Energy Drink - During Day:Good day:Tea - During Day:Tired
2021-09-11 03:05:25;2021-09-11 08:50:57;65%;17%;Good;59;8297;Normal;100.1;Hermiston;17.9;20732.0;18175.1;2556.9;2021-09-11 10:00:00;2021-09-11 10:30:00;true;1120.0;59.4;Sunny;Ate late:Good day:Late Night TV:Tired
